Name, RA, Dec, N_exp, SNR
BD-090872,65.06124,-9.03723,2,45.1774279923
HD207699,328.01594,-45.0084,8,100.149737893
HD189567,301.39615,-67.3212,515,4090.41940637
HD8828,21.75691,-0.15854,61,944.972486372
HD224619,359.86987,-20.03466,29,827.118739964
HIP9749,31.35062,-28.06901,14,98.0412158227
HD45977,97.53123,-11.80991,19,161.467767681
HD30278,70.80681,-54.59369,29,703.821539881
HD70889,125.88171,-27.82219,22,926.635440721
HD224347,359.29331,-5.46116,9,257.130764398
HD223282,357.08961,-27.89675,50,940.15863555
HIP948,2.92611,-39.22924,22,173.785730139
HD28185,66.61136,-10.55127,12,477.384258224
HD38510,86.28897,-26.99186,29,456.92113105
Gl205,82.86582,-3.68062,88,830.774108889
Gl880,344.14249,16.55141,126,663.040232565
HD15279,36.47043,-52.96455,1,19.6
HD203897,321.48495,-31.18121,14,123.416287418
Gl1,1.36001,-37.36237,48,489.216373397
HD213628,338.37851,-35.44839,45,829.17691719
HD94151,162.91231,-22.07228,26,720.946565288
HD3964,10.54018,-3.05697,36,298.591828421
CD-571633,106.61872,-57.45749,7,170.759860623
HD6348,16.11222,-2.36661,21,313.341459114
HD14635,35.43408,-6.8812,2,93.3606448135
HD8394A,20.49245,-57.97574,14,315.039965719
HIP22059,71.17537,-37.12174,11,202.502765413
Gl12,3.95379,13.55492,7,18.7344602271
HD1388,4.4956,-13.45554,152,2406.77640216
HD218249,346.63559,-0.19698,23,291.717328933
HD11938,28.95631,-52.8415,29,164.825271121
HD8930,21.98021,-1.99345,4,63.4527383176
HIP108020,328.27122,-64.2176,5,58.7666572131
HD26413A,62.14389,-45.86641,1,88.7
HD193901,305.90129,-21.37206,26,330.605928561
HD9608,23.31844,-47.3051,5,90.2192329828
BD-126174,331.46335,-11.91484,33,191.447721324
HIP108930,331.03969,-69.92524,17,73.8382692105
HD13808,33.1825,-53.74442,250,1554.01322388
HD86140,148.64526,-58.72994,43,468.752066662
HD223854,358.27954,2.33016,24,476.525959419
HD47186,99.03556,-27.62313,162,1888.60984854
HD28701,66.44343,-69.99401,24,617.316652942
HD7495,18.72629,-15.82073,1,54.6
HD197536,311.15537,-10.49481,28,486.172047736
HD213575,338.14228,-6.46707,24,794.02145437
Gl393,157.23125,0.83987,159,516.930807749
HD82342,142.6174,-32.10332,68,804.655746267
HD20868,50.17977,-33.72974,51,254.848759071
HD195564,308.09857,-9.85377,71,2079.48090638
CD-452997,107.86936,-46.19908,6,70.8931590494
HD13183,31.82987,-53.19849,5,158.144870293
HD222422,355.15925,-18.98854,7,388.606266033
HD15612,37.37694,-41.3644,44,248.869845502
HD8912,21.86301,-25.93947,7,171.18305991
HD38355,85.61746,-50.47439,10,130.987823862
HD222237,354.9061,-72.72299,54,1085.38710145
HD8038,19.87088,-24.95378,16,188.523022467
HD36003,82.10927,-3.50136,287,1737.41271435
BD-160931,70.9023,-15.80473,6,88.629791831
HD68089,122.26829,-42.075,7,142.548658359
HD3808,10.12754,-27.27618,11,130.449032193
HD14680,35.35198,-30.93345,3,126.112013702
HD8985,22.03081,-28.05542,5,123.134195088
HD16784,40.16289,-30.13516,3,184.749912043
Gl213,85.54109,12.48631,107,136.253917375
HD4021,10.65024,-16.70344,11,137.703086385
HD36051,81.67805,-45.04905,15,229.877641366
HD24558,57.63358,-64.06849,27,168.786966321
HD212708,336.8531,-49.36642,53,777.182861365
HD1620A,5.07912,-32.76922,1,27.6
HD180409,289.21625,-10.97388,20,813.257523789
HD211534,334.62413,-39.13719,5,84.0430246957
BD-100047,4.77399,-9.96606,7,213.96523082
