# Name, RA, Dec, N_exp, SNR, parallax, parallax_error, Kmag, Kmag_err, Bmag, Bmag_err, Vmag, Vmag_err
GJ4310,345.83798,-49.72736,10.0,91.3479063799,51.1613191511,0.382456348023,6.80900001526,0.0,12.0780000687,0.00999999977648,10.751999855,0.0670000016689
GJ4016,264.71301,8.02519,5.0,20.8501798553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ2138,279.69003,-14.49091,7.0,41.1789995022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ4038,269.2626,15.77489,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ660A,257.96796,-1.85132,14.0,48.3485263478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi-Vir_K2III,189.81313,-7.99347,55.0,1405.10236282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD-202753,319.54352,-4.51887,1.0,353.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD-96706,166.71475,-70.87904,1.0,291.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD79039,137.47569,-47.47812,1.0,235.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ828.2,321.82433,-6.8443,5.0,50.4626594622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 83754,145.08036,-14.32981,2.0,363.552540907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ734B,283.72296,10.9765,10.0,108.207855537,56.6745161583,0.585489812846,5.89300012589,0.0,10.7250003815,0.0599999986589,nan,nan
HIP110692,336.40524,-34.90817,10.0,80.6545101033,23.7810052174,0.291200730437,7.63999986649,0.0,11.670999527,0.0280000008643,10.4750003815,0.0480000004172
GJ730,282.50277,3.08731,3.0,38.2166194214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD10800,24.50084,-82.97413,4.0,296.171622543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ4253,331.48123,-38.26988,2.0,11.3529731789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDM-J12377-2708AB_F1V,189.42877,-27.13724,2.0,363.729693591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
